# doc_id	para_idx	verses
# source=library/source_links.json
# threshold=build_graph.MIN_SCORE (default 0.25 unless graphs were rebuilt with --min-score)
millennial_star:millennial_star_1840_1859_1858_march_vol_20_no_12	1758	14
millennial_star:millennial_star_1840_1859_1859_december_vol_21_no_53	613	14
millennial_star:millennial_star_1840_1859_1859_december_vol_21_no_53	14637	14
times_and_seasons:times_and_seasons_1839_1846_1840_april_vol_01_no_06	22	14
times_and_seasons:times_and_seasons_1839_1846_1840_april_vol_01_no_06	463	14
times_and_seasons:times_and_seasons_1839_1846_1840_march_vol_01_no_05	10	14
times_and_seasons:times_and_seasons_1839_1846_1841_february_vol_02_no_07	2	14
times_and_seasons:times_and_seasons_1839_1846_1841_february_vol_02_no_07	49	14
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	2404	14
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	2729	14
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	2999	14
history_of_church:vol1	839	13
history_of_church:vol1	1169	13
history_of_church:vol1	3295	13
history_of_church:vol1	4094	13
journal_of_discourses:vol_01	590	13
journal_of_discourses:vol_04	113	13
journal_of_discourses:vol_14	290	13
journal_of_discourses:vol_19	483	13
journal_of_discourses:vol_21	632	13
millennial_star:millennial_star_1840_1859_1850_august_vol_21_no_33	168	13
millennial_star:millennial_star_1840_1859_1850_august_vol_21_no_33	215	13
millennial_star:millennial_star_1840_1859_1850_august_vol_21_no_33	255	13
millennial_star:millennial_star_1840_1859_1850_june_vol_18_no_20	12	13
millennial_star:millennial_star_1840_1859_1850_june_vol_18_no_20	74	13
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	50	13
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	51	13
millennial_star:millennial_star_1840_1859_1850_october_vol_18_no_42	112	13
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	3	13
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	13	13
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	23	13
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	41	13
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	149	13
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	150	13
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	488	13
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	490	13
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	495	13
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	532	13
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	564	13
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	939	13
millennial_star:millennial_star_1840_1859_1852_august_vol_14_no_25	90	13
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	58	13
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	71	13
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	245	13
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	298	13
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	540	13
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	803	13
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	910	13
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	951	13
millennial_star:millennial_star_1840_1859_1852_july_vol_14_no_21	48	13
millennial_star:millennial_star_1840_1859_1852_july_vol_14_no_21	454	13
millennial_star:millennial_star_1840_1859_1852_july_vol_14_no_21	507	13
millennial_star:millennial_star_1840_1859_1852_june_vol_25_no_17	142	13
millennial_star:millennial_star_1840_1859_1852_june_vol_25_no_17	179	13
millennial_star:millennial_star_1840_1859_1852_november_vol_14_no_04	221	13
millennial_star:millennial_star_1840_1859_1855_april_vol_17_no_16	929	13
millennial_star:millennial_star_1840_1859_1856_september_vol_18_no_36	54	13
millennial_star:millennial_star_1840_1859_1857_december_vol_19_no_50	38	13
millennial_star:millennial_star_1840_1859_1858_august_vol_18_no_31	41	13
millennial_star:millennial_star_1840_1859_1859_december_vol_21_no_53	3352	13
times_and_seasons:times_and_seasons_1839_1846_1840_april_vol_01_no_06	186	13
times_and_seasons:times_and_seasons_1839_1846_1840_april_vol_01_no_06	317	13
times_and_seasons:times_and_seasons_1839_1846_1840_september_vol_01_no_11	27	13
times_and_seasons:times_and_seasons_1839_1846_1841_april_vol_02_no_11	325	13
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	1250	13
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	2884	13
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	2914	13
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	3610	13
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	3627	13
times_and_seasons:times_and_seasons_1839_1846_1844_january_vol_05_no_02	513	13
church_fathers:a_select_library_of_the_nicene_and_post_nicene_fathers_of_the_christian_church	39	12
church_fathers:the_anti_pelagian_writings_volume_6_first_series_of_the_nicene_and_post_nicene_fathers	437	12
gutenberg_lds:jesus_the_christ_a_study_of_the_messiah_and_his_mission_according_to_holy_scriptures_both_ancient_and_modern	431	12
history_of_church:vol1	462	12
history_of_church:vol1	548	12
history_of_church:vol1	853	12
history_of_church:vol1	1402	12
history_of_church:vol1	2226	12
history_of_church:vol1	2657	12
journal_of_discourses:vol_02	614	12
millennial_star:millennial_star_1840_1859_1850_august_vol_21_no_33	7	12
millennial_star:millennial_star_1840_1859_1850_august_vol_21_no_33	305	12
millennial_star:millennial_star_1840_1859_1850_february_vol_17_no_05	43	12
millennial_star:millennial_star_1840_1859_1850_june_vol_18_no_20	112	12
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	33	12
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	39	12
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	46	12
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	76	12
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	205	12
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	207	12
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	360	12
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	401	12
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	515	12
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	625	12
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	628	12
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	45	12
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	56	12
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	58	12
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	189	12
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	307	12
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	620	12
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	908	12
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	940	12
millennial_star:millennial_star_1840_1859_1852_august_vol_14_no_27	83	12
millennial_star:millennial_star_1840_1859_1852_august_vol_14_no_27	88	12
millennial_star:millennial_star_1840_1859_1852_august_vol_14_no_27	95	12
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	211	12
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	224	12
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	254	12
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	266	12
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	332	12
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	405	12
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	655	12
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	756	12
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	862	12
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	864	12
millennial_star:millennial_star_1840_1859_1852_july_vol_14_no_21	159	12
millennial_star:millennial_star_1840_1859_1852_july_vol_14_no_21	470	12
millennial_star:millennial_star_1840_1859_1852_june_vol_25_no_17	81	12
millennial_star:millennial_star_1840_1859_1852_june_vol_25_no_17	267	12
millennial_star:millennial_star_1840_1859_1852_november_vol_14_no_04	14	12
millennial_star:millennial_star_1840_1859_1853_april_vol_15_no_17	871	12
millennial_star:millennial_star_1840_1859_1856_february_vol_18_no_07	24	12
millennial_star:millennial_star_1840_1859_1858_september_vol_20_no_36	130	12
millennial_star:millennial_star_1840_1859_1859_december_vol_21_no_53	642	12
millennial_star:millennial_star_1840_1859_1859_december_vol_21_no_53	1448	12
millennial_star:millennial_star_1840_1859_1859_december_vol_21_no_53	3142	12
millennial_star:millennial_star_1840_1859_1859_december_vol_21_no_53	3367	12
millennial_star:millennial_star_1840_1859_1859_december_vol_21_no_53	3967	12
millennial_star:millennial_star_1840_1859_1859_december_vol_21_no_53	7987	12
millennial_star:millennial_star_1840_1859_1859_december_vol_21_no_53	11467	12
